Sample	d_pre_nokat_clock	group
CURTIS_H004600_T01_01_WG01	0.444198811956288	ER+ High
CURTIS_H004603_T01_01_WG01	0.84067419542405	IC10
CURTIS_H004606_T01_01_WG01	0.0995767986059248	ER+ High
CURTIS_H004616_T01_01_WG01	0.648699110197991	IC10
CURTIS_H004618_T01_01_WG01	0	ER+ High
CURTIS_H004619_T01_01_WG01	0.138862020442397	ER+ High
CURTIS_H004628_T01_01_WG01	0.389053912201238	ER+ Typical
CURTIS_H004630_T01_01_WG01	0.244860713195145	ER+ High
CURTIS_H004630_T01_01_WG01	0.0504849328296042	ER+ High
CURTIS_H004632_T01_01_WG01	0.116670332034859	ER+ High
CURTIS_H004634_T01_01_WG01	0.435821822328969	HER2+
CURTIS_H004637_T01_01_WG01	0.355009194516411	ER+ High
CURTIS_H004637_T01_01_WG01	1.13288283224167	ER+ High
CURTIS_H004640_T01_01_WG01	0.140134486764499	ER+ Typical
CURTIS_H004643_T01_01_WG01	0.468331503737913	ER+ Typical
CURTIS_H004644_T01_01_WG01	0	ER+ High
CURTIS_H004644_T01_01_WG01	0.163709547370845	ER+ High
CURTIS_H004648_T01_01_WG01	0.558103395322188	HER2+
CURTIS_H004648_T01_01_WG01	0	HER2+
CURTIS_H004649_T02_01_WG01	0.388911266955344	ER+ High
CURTIS_H004653_T01_01_WG01	0.168972988773386	ER+ Typical
CURTIS_H004655_T01_01_WG01	0.0630966395355933	ER+ High
CURTIS_H004663_T01_01_WG01	0.237930822793846	ER+ High
CURTIS_H004666_T01_01_WG01	0.435679127311427	ER+ High
CURTIS_H004667_T01_01_WG01	0.294274518748251	ER+ Typical
CURTIS_H004673_T01_01_WG01	0.4340324308616	ER+ Typical
CURTIS_H004673_T01_01_WG01	0.551722604988049	ER+ Typical
CURTIS_H004685_T01_01_WG01	0.342509004208332	ER+ High
CURTIS_H004686_T01_01_WG01	0.192246582804761	ER+ High
CURTIS_H004690_T01_01_WG01	0.41516366230442	HER2+
CURTIS_H004693_T01_01_WG01	0.372542546317877	ER+ High
CURTIS_H004694_T01_01_WG01	0	ER+ High
CURTIS_H004696_T01_01_WG01	0.29644986569968	ER+ Typical
CURTIS_H004698_T01_01_WG01	0.310631665143807	ER+ High
CURTIS_H004709_T01_01_WG01	0.997574243924845	ER+ Typical
CURTIS_H004710_T01_01_WG01	0	ER+ High
CURTIS_H004714_T01_01_WG01	0.174288603581362	HER2+
CURTIS_H004717_T01_01_WG01	0.567328876876573	ER+ Typical
CURTIS_H004719_T01_01_WG01	0.372705304295649	HER2+
CURTIS_H004728_T01_01_WG01	0.432609143552163	ER+ Typical
CURTIS_H004733_T01_01_WG01	0.378585577650777	ER+ Typical
CURTIS_H004742_T01_01_WG01	0.480395475708898	IC10
